title,genre,izlenme_sayisi
Harry Potter and the Prisoner of Azkaban (2004),IMAX,13157
"Matrix Revolutions, The (2003)",IMAX,12282
300 (2007),IMAX,10807
Harry Potter and the Goblet of Fire (2005),IMAX,9908
Avatar (2009),IMAX,9753
Star Trek (2009),IMAX,7690
Charlie and the Chocolate Factory (2005),IMAX,7518
I Am Legend (2007),IMAX,6467
Harry Potter and the Order of the Phoenix (2007),IMAX,5967
Toy Story 3 (2010),IMAX,5781
Transformers (2007),IMAX,5664
Watchmen (2009),IMAX,5466
"Avengers, The (2012)",IMAX,4959
"Dark Knight Rises, The (2012)",IMAX,4770
How to Train Your Dragon (2010),IMAX,4761
Kung Fu Panda (2008),IMAX,4468
Spider-Man 3 (2007),IMAX,4256
Harry Potter and the Half-Blood Prince (2009),IMAX,4245
Iron Man 2 (2010),IMAX,4192
Fantasia 2000 (1999),IMAX,4066
Harry Potter and the Deathly Hallows: Part 2 (2011),IMAX,3983
Harry Potter and the Deathly Hallows: Part 1 (2010),IMAX,3884
Superman Returns (2006),IMAX,3535
Alice in Wonderland (2010),IMAX,2946
"Hobbit: An Unexpected Journey, The (2012)",IMAX,2894
Skyfall (2012),IMAX,2843
Night at the Museum (2006),IMAX,2610
Thor (2011),IMAX,2580
Gravity (2013),IMAX,2475
Tangled (2010),IMAX,2438
Prometheus (2012),IMAX,2053
Transformers: Revenge of the Fallen (2009),IMAX,2012
Star Trek Into Darkness (2013),IMAX,1971
Mission: Impossible - Ghost Protocol (2011),IMAX,1914
"Amazing Spider-Man, The (2012)",IMAX,1914
"Hunger Games: Catching Fire, The (2013)",IMAX,1873
Life of Pi (2012),IMAX,1871
Iron Man 3 (2013),IMAX,1862
Everest (1998),IMAX,1859
Robots (2005),IMAX,1777
Bowling for Columbine (2002),Documentary,12280
Hoop Dreams (1994),Documentary,10432
Super Size Me (2004),Documentary,8375
Fahrenheit 9/11 (2004),Documentary,8179
Roger & Me (1989),Documentary,7371
Crumb (1994),Documentary,5995
When We Were Kings (1996),Documentary,3737
Jackass: The Movie (2002),Documentary,2953
Spellbound (2002),Documentary,2888
"March of the Penguins (Marche de l'empereur, La) (2005)",Documentary,2853
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),Documentary,2748
"Thin Blue Line, The (1988)",Documentary,2700
Buena Vista Social Club (1999),Documentary,2653
"Inconvenient Truth, An (2006)",Documentary,2610
"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Documentary,2589
Eddie Murphy Raw (1987),Documentary,2193
Stop Making Sense (1984),Documentary,2192
Touching the Void (2003),Documentary,2123
American Movie (1999),Documentary,2052
Sicko (2007),Documentary,1970
"Celluloid Closet, The (1995)",Documentary,1883
Everest (1998),Documentary,1859
Trekkies (1997),Documentary,1825
Capturing the Friedmans (2003),Documentary,1768
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary,1764
Looking for Richard (1996),Documentary,1737
Grizzly Man (2005),Documentary,1617
Madonna: Truth or Dare (1991),Documentary,1617
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,1591
Exit Through the Gift Shop (2010),Documentary,1591
"Corporation, The (2003)",Documentary,1552
"King of Kong, The (2007)",Documentary,1494
"Fast, Cheap & Out of Control (1997)",Documentary,1473
Baraka (1992),Documentary,1440
"Winged Migration (Peuple migrateur, Le) (2001)",Documentary,1291
"Aristocrats, The (2005)",Documentary,1279
Man on Wire (2008),Documentary,1257
Jesus Camp (2006),Documentary,1248
Enron: The Smartest Guys in the Room (2005),Documentary,1225
"War Room, The (1993)",Documentary,1219
"Bill Cosby, Himself (1983)",Documentary,1178
Inside Job (2010),Documentary,1173
42 Up (1998),Documentary,1120
U2: Rattle and Hum (1988),Documentary,1118
Jackass Number Two (2006),Documentary,1105
Startup.com (2001),Documentary,1069
Paris Is Burning (1990),Documentary,1054
Unzipped (1995),Documentary,1038
Lost in La Mancha (2002),Documentary,1033
"Big One, The (1997)",Documentary,1022
Forrest Gump (1994),War,66172
Braveheart (1995),War,53769
Schindler's List (1993),War,50054
Saving Private Ryan (1998),War,37110
Crimson Tide (1995),War,23628
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),War,23220
Apocalypse Now (1979),War,23090
Full Metal Jacket (1987),War,21926
Life Is Beautiful (La Vita è bella) (1997),War,18156
Legends of the Fall (1994),War,16171
Platoon (1986),War,15808
"English Patient, The (1996)",War,15330
Gone with the Wind (1939),War,14396
"Boot, Das (Boat, The) (1981)",War,13612
Hot Shots! Part Deux (1993),War,13521
"Patriot, The (2000)",War,12946
Rob Roy (1995),War,12616
"Bridge on the River Kwai, The (1957)",War,12576
M*A*S*H (a.k.a. MASH) (1970),War,12528
"Last of the Mohicans, The (1992)",War,12419
Lawrence of Arabia (1962),War,12378
Glory (1989),War,12266
Three Kings (1999),War,12045
"Good Morning, Vietnam (1987)",War,11548
"Great Escape, The (1963)",War,10904
300 (2007),War,10807
"Deer Hunter, The (1978)",War,10572
"African Queen, The (1951)",War,10526
"Pianist, The (2002)",War,10515
"Last Samurai, The (2003)",War,10464
Black Hawk Down (2001),War,10192
Inglourious Basterds (2009),War,9447
"Manchurian Candidate, The (1962)",War,8988
Hotel Rwanda (2004),War,8416
"Thin Red Line, The (1998)",War,8238
Pearl Harbor (2001),War,8198
Patton (1970),War,8157
Stripes (1981),War,8001
Courage Under Fire (1996),War,7893
Enemy at the Gates (2001),War,7185
"Killing Fields, The (1984)",War,7150
"Dirty Dozen, The (1967)",War,7140
Blood Diamond (2006),War,6878
U-571 (2000),War,6791
Master and Commander: The Far Side of the World (2003),War,6704
Troy (2004),War,6087
Lord of War (2005),War,5768
Doctor Zhivago (1965),War,5685
Duck Soup (1933),War,5569
Spartacus (1960),War,5072
Aladdin (1992),Musical,41842
"Lion King, The (1994)",Musical,38991
Beauty and the Beast (1991),Musical,35138
Willy Wonka & the Chocolate Factory (1971),Musical,28335
"Wizard of Oz, The (1939)",Musical,23445
"Nightmare Before Christmas, The (1993)",Musical,20509
"Blues Brothers, The (1980)",Musical,19824
Snow White and the Seven Dwarfs (1937),Musical,17766
"South Park: Bigger, Longer and Uncut (1999)",Musical,17371
Grease (1978),Musical,15630
Shrek 2 (2004),Musical,14564
"Little Mermaid, The (1989)",Musical,14294
Mary Poppins (1964),Musical,14096
"Sound of Music, The (1965)",Musical,14049
"Rocky Horror Picture Show, The (1975)",Musical,13482
Pocahontas (1995),Musical,13046
Pinocchio (1940),Musical,12782
Fantasia (1940),Musical,12139
Moulin Rouge (2001),Musical,11580
Dirty Dancing (1987),Musical,11013
"Hunchback of Notre Dame, The (1996)",Musical,10389
James and the Giant Peach (1996),Musical,10228
Singin' in the Rain (1952),Musical,10219
My Fair Lady (1964),Musical,9707
School of Rock (2003),Musical,9071
Cinderella (1950),Musical,8954
Dumbo (1941),Musical,8951
"Jungle Book, The (1967)",Musical,8694
West Side Story (1961),Musical,8492
Chicago (2002),Musical,8485
Little Shop of Horrors (1986),Musical,8347
Labyrinth (1986),Musical,8305
Mulan (1998),Musical,7941
Alice in Wonderland (1951),Musical,7842
Peter Pan (1953),Musical,7075
"Muppet Movie, The (1979)",Musical,6793
Walk the Line (2005),Musical,6493
Muppet Treasure Island (1996),Musical,6376
"Prince of Egypt, The (1998)",Musical,6312
Sleeping Beauty (1959),Musical,6291
Pink Floyd: The Wall (1982),Musical,6138
Duck Soup (1933),Musical,5569
"Sword in the Stone, The (1963)",Musical,5428
"Commitments, The (1991)",Musical,5235
Hercules (1997),Musical,5024
Evita (1996),Musical,5017
What's Love Got to Do with It? (1993),Musical,4534
Robin Hood (1973),Musical,4525
Yellow Submarine (1968),Musical,4398
Corpse Bride (2005),Musical,4373
Dances with Wolves (1990),Western,44208
Back to the Future Part III (1990),Western,19724
Maverick (1994),Western,17062
Legends of the Fall (1994),Western,16171
Butch Cassidy and the Sundance Kid (1969),Western,15558
Tombstone (1993),Western,15157
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Western,14496
Desperado (1995),Western,14321
Unforgiven (1992),Western,14151
City Slickers II: The Legend of Curly's Gold (1994),Western,12819
"Last of the Mohicans, The (1992)",Western,12419
Wild Wild West (1999),Western,11038
Blazing Saddles (1974),Western,10519
Shanghai Noon (2000),Western,7550
Lone Star (1996),Western,7196
City Slickers (1991),Western,7008
"Quick and the Dead, The (1995)",Western,6945
Young Guns (1988),Western,6755
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",Western,6591
¡Three Amigos! (1986),Western,6485
There Will Be Blood (2007),Western,5233
"Treasure of the Sierra Madre, The (1948)",Western,5155
Wyatt Earp (1994),Western,5025
High Noon (1952),Western,4941
3:10 to Yuma (2007),Western,4725
For a Few Dollars More (Per qualche dollaro in più) (1965),Western,4638
Once Upon a Time in the West (C'era una volta il West) (1968),Western,4407
"Mariachi, El (1992)",Western,4381
Django Unchained (2012),Western,4328
Westworld (1973),Western,4163
Little Big Man (1970),Western,4033
"Magnificent Seven, The (1960)",Western,3875
True Grit (2010),Western,3487
Dead Man (1995),Western,3307
"Outlaw Josey Wales, The (1976)",Western,3258
"Wild Bunch, The (1969)",Western,3174
Young Guns II (1990),Western,3010
Pale Rider (1985),Western,2646
High Plains Drifter (1973),Western,2555
"American Tail: Fievel Goes West, An (1991)",Western,2154
"Searchers, The (1956)",Western,2128
"Man Who Shot Liberty Valance, The (1962)",Western,1848
"Apple Dumpling Gang, The (1975)",Western,1808
True Grit (1969),Western,1794
Bad Girls (1994),Western,1774
Shane (1953),Western,1769
Tender Mercies (1983),Western,1756
"Assassination of Jesse James by the Coward Robert Ford, The (2007)",Western,1725
Giant (1956),Western,1683
Hang 'Em High (1968),Western,1621
L.A. Confidential (1997),Film-Noir,26836
Sin City (2005),Film-Noir,15481
Chinatown (1974),Film-Noir,15310
"Maltese Falcon, The (1941)",Film-Noir,12144
Dark City (1998),Film-Noir,11759
Mulholland Drive (2001),Film-Noir,9307
"Grifters, The (1990)",Film-Noir,6685
"Third Man, The (1949)",Film-Noir,6565
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,6525
Miller's Crossing (1990),Film-Noir,6060
"Big Sleep, The (1946)",Film-Noir,5529
Strangers on a Train (1951),Film-Noir,5154
Blood Simple (1984),Film-Noir,5053
Notorious (1946),Film-Noir,4932
Double Indemnity (1944),Film-Noir,4909
Touch of Evil (1958),Film-Noir,4718
Devil in a Blue Dress (1995),Film-Noir,4435
M (1931),Film-Noir,4232
Lost Highway (1997),Film-Noir,4022
2 Days in the Valley (1996),Film-Noir,3142
Drive (2011),Film-Noir,2916
Key Largo (1948),Film-Noir,2817
Angel Heart (1987),Film-Noir,2692
Down by Law (1986),Film-Noir,2645
Laura (1944),Film-Noir,2641
"Killing, The (1956)",Film-Noir,2100
Brick (2005),Film-Noir,2078
House of Games (1987),Film-Noir,1970
Bitter Moon (1992),Film-Noir,1542
"Night of the Hunter, The (1955)",Film-Noir,1425
Suspicion (1941),Film-Noir,1424
Mildred Pierce (1945),Film-Noir,1103
Out of the Past (1947),Film-Noir,1082
"Asphalt Jungle, The (1950)",Film-Noir,1048
Gilda (1946),Film-Noir,1008
"Long Goodbye, The (1973)",Film-Noir,1006
Foreign Correspondent (1940),Film-Noir,942
Tinker Tailor Soldier Spy (2011),Film-Noir,831
One False Move (1992),Film-Noir,813
Sweet Smell of Success (1957),Film-Noir,789
"Wrong Man, The (1956)",Film-Noir,768
"Murder, My Sweet (1944)",Film-Noir,764
Rififi (Du rififi chez les hommes) (1955),Film-Noir,758
"Big Heat, The (1953)",Film-Noir,644
Hoodlum (1997),Film-Noir,637
White Heat (1949),Film-Noir,636
"Postman Always Rings Twice, The (1946)",Film-Noir,616
High and Low (Tengoku to jigoku) (1963),Film-Noir,601
D.O.A. (1988),Film-Noir,568
Kiss Me Deadly (1955),Film-Noir,483
Doctor Who: The Time of the Doctor (2013),(no genres listed),36
Scorpio Rising (1964),(no genres listed),24
At Land (1944),(no genres listed),10
Petting Zoo (2015),(no genres listed),6
Bizarre (2015),(no genres listed),5
Blacksmith Scene (1893),(no genres listed),4
Tokyo Fiancée (2015),(no genres listed),4
Direct from Brooklyn (1999),(no genres listed),3
"Study in Choreography for Camera, A (1945)",(no genres listed),3
Beastie Boys: Sabotage (1994),(no genres listed),3
As We Were Dreaming (2015),(no genres listed),3
Stephen Fry In America - New World,(no genres listed),3
Nocturno 29 (1968),(no genres listed),3
The Private Life of a Cat (1944),(no genres listed),2
Sekirei (2008),(no genres listed),2
Ixcanul Volcano (2015),(no genres listed),2
Two Solutions for One Problem (Dow Rahehal Baraye yek Massaleh) (1975),(no genres listed),2
Walker (2012),(no genres listed),2
Stars Above (2012),(no genres listed),2
Homework (1989),(no genres listed),2
Kamome Diner (2006),(no genres listed),2
Milky Way (Tejút) (2007),(no genres listed),2
Guernica (1950),(no genres listed),2
Women Aren't Funny (2014),(no genres listed),2
Garlic Is As Good As Ten Mothers (1980),(no genres listed),2
Glumov's Diary (Dnevnik Glumova) (1923),(no genres listed),2
Capturing Mary (2007),(no genres listed),2
Glitterbug (1994),(no genres listed),2
La cravate (1957),(no genres listed),2
Lost and Found (1979),(no genres listed),2
My Own Man,(no genres listed),2
Hits (2014),(no genres listed),2
Brothers on the Line (2012),(no genres listed),2
Little Hamlet (1960),(no genres listed),2
The 3 Rs (2011),(no genres listed),2
Casting Couch (2013),(no genres listed),2
Laissons Lucie faire ! (2000),(no genres listed),2
Venus & Fleur (2004),(no genres listed),2
"Ella Lola, a la Trilby (1898)",(no genres listed),1
"Turkish Dance, Ella Lola (1898)",(no genres listed),1
Always for Pleasure (1978),(no genres listed),1
Small Roads (2011),(no genres listed),1
The Sea That Thinks (2000),(no genres listed),1
Slingshot Hip Hop (2008),(no genres listed),1
Trails (Veredas) (1978),(no genres listed),1
Zanjeer (1973),(no genres listed),1
In Our Garden,(no genres listed),1
Love Steaks (2013),(no genres listed),1
Ten Minutes Older (1978),(no genres listed),1
Li'l Quinquin,(no genres listed),1
